strain	clade_membership	accession	date	source	country	original_annotated_genotype	original_annotated_subtype
HCV/3A_RASILBS4/JQ717255/INDIA/2010	3		2010-12-10	ncbi	India	3	3a
HCV/3A_ILBSRAS_JK/KF035124/INDIA/2012	3		2012-08-20	ncbi	India	3	3a
HCV/3A_ILBSRAS6/JQ717257/INDIA/2011	3		2011-03-03	ncbi	India	3	3a
HCV/SP182530/KY620850/UNKNOWN/2014	3		2014-03-26	ncbi			
HCV/SP117210/KY620846/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/SP100227/KY620848/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/SP103917/KY620847/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/SP100493/KY620849/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/SP187040/KY620864/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/3A_ILBSRAS_LD/KF035126/INDIA/2012	3		2012-08-20	ncbi	India	3	3a
HCV/3A_ILBSRAS7/JQ717258/INDIA/2011	3		2011-02-14	ncbi	India	3	3a
HCV/SP164575/KY620712/UNKNOWN/2014	3		2014-03-06	ncbi			
HCV/SP151873/KY620714/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP189842/KY620852/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/3A_ILBSRAS_BD/KF035125/INDIA/2012	3		2012-08-20	ncbi	India	3	3a
HCV/3A_RASILBS5/JQ717256/INDIA/2011	3		2011-04-07	ncbi	India	3	3a
HCV/SP109919/KY620828/UNKNOWN/2014	3		2014-03-24	ncbi			
HCV/SP155550/KY620829/UNKNOWN/2014	3		2014-04-01	ncbi			
HCV/SP155883/KY620831/UNKNOWN/2014	3		2014-03-27	ncbi			
HCV/SP115698/KY620834/UNKNOWN/2014	3		2014-03-20	ncbi			
HCV/SP116028/KY620835/UNKNOWN/2014	3		2014-03-26	ncbi			
HCV/SP182055/KY620838/UNKNOWN/2014	3		2014-03-28	ncbi			
HCV/SP151949/KY620832/UNKNOWN/2014	3		2014-03-24	ncbi			
HCV/SP123278/KY620833/UNKNOWN/2014	3		2014-03-26	ncbi			
HCV/SP190658/KY620827/UNKNOWN/2014	3		2014-03-25	ncbi			
HCV/SP141988/KY620837/UNKNOWN/2014	3		2014-03-26	ncbi			
HCV/SP117879/KY620836/UNKNOWN/2014	3		2014-03-26	ncbi			
HCV/SP183826/KY620839/UNKNOWN/2014	3		2014-03-28	ncbi			
HCV/SP199150/KY620826/UNKNOWN/2014	3		2014-03-24	ncbi			
HCV/SP126872/KY620868/UNKNOWN/2014	3		2014-03-28	ncbi			
HCV/SP198579/KY620876/UNKNOWN/2014	3		2014-04-02	ncbi			
HCV/SP175464/KY620877/UNKNOWN/2014	3		2014-04-02	ncbi			
HCV/SP108000/KY620879/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/SP117541/KY620878/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/S553_20130122_FL_A16/OK552799/USA/2013	3		2002-06-02	ictv	USA	3	3i
HCV/J/KM587623/USA/2012	3		2012-06-27	ncbi	USA		
HCV/SP140721/KY620875/UNKNOWN/2014	3		2014-03-28	ncbi			
HCV/SP167097/KY620869/UNKNOWN/2014	3		2014-03-28	ncbi			
HCV/SP171043/KY620870/UNKNOWN/2014	3		2014-04-02	ncbi			
HCV/SP129388/KY620871/UNKNOWN/2014	3		2014-03-27	ncbi			
HCV/SP144795/KY620872/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/3B_119/LC368420/MYANMAR/2012	3		2012-XX-XX	ncbi	Myanmar	3	3b
HCV/HCV036_S/OM896881/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV110_S/OM896898/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV209/OM896940/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV055_S/OM896893/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV196/OM896927/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/SP161684/KY620874/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/SP136582/KY620873/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/HCV058/OM896896/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV201_S/OM896932/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV115_S/OM896902/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV053/OM896891/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/S553_20120822_FL_C11/OK552774/USA/2012	3		2011-08-22	ictv	USA	3	3b
HCV/HCV044/OM896883/CHINA/2009	3		2009-XX-XX	ncbi	China		
HCV/HCV048/OM896887/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV208_S/OM896939/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV205_S/OM896936/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV206_S/OM896937/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV183_S/OM896914/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV191_S/OM896922/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV186_S/OM896917/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV188/OM896919/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV056_S/OM896894/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV057/OM896895/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV135_S/OM896904/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV213_S/OM896943/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV114_S/OM896901/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/2584/MN385583/CHINA/2016	3		2016-XX-XX	ncbi	China		
HCV/HCV197_S/OM896928/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV052_S/OM896890/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV214_S/OM896944/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/3B_ZS650/KC844044/CHINA/2011	3		2011-XX-XX	ncbi	China	3	3b
HCV/HCV112_S/OM896900/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV178_S/OM896909/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV050_S/OM896889/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV177/OM896908/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV047/OM896886/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV054_S/OM896892/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/3B_MA3_5-1/LC414155/JAPAN/2017	3		2017-11-27	ncbi	Japan	3	3b
HCV/HCV109_S/OM896897/CHINA/2009	3		2009-XX-XX	ncbi	China		
HCV/HCV049_S/OM896888/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV210_S/OM896941/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV046_S/OM896885/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV123/OM896903/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV193/OM896924/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV184/OM896915/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV192_S/OM896923/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV207/OM896938/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV211/OM896942/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV185/OM896916/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV179_S/OM896910/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV175/OM896906/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV182/OM896913/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV190/OM896921/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV181_S/OM896912/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV189/OM896920/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV195_S/OM896926/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV180_S/OM896911/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV194/OM896925/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV199_S/OM896930/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV203_S/OM896934/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV037_S/OM896882/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV174_S/OM896905/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV045_S/OM896884/CHINA/2009	3		2009-XX-XX	ncbi	China		
HCV/HCV202/OM896933/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV204_S/OM896935/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV200/OM896931/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV111_S/OM896899/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV187/OM896918/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV176_S/OM896907/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV198_S/OM896929/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/S553_20090408_FL_B15/OK552684/USA/2009	7		2014-03-11	ictv	USA	7	7
HCV/KIN619/MH940291/DEMOCRATIC-REPUBLIC-OF-THE-CONGO/2015	7		2015-01-06	ncbi	Democratic Republic of the Congo		
HCV/S553_20090408_FL_C01/OK552686/USA/2009	7		2010-01-XX	ictv	USA	7	7b
HCV/A/KX172138/BELGIUM/2014	7		2014-11-XX	ncbi	Belgium		
HCV/MRS89/KC197235/FRANCE/1995	2		1995-XX-XX	ncbi	France		
HCV/PTR7904/KC197240/FRANCE/2008	2		2008-XX-XX	ncbi	France		
HCV/S553_20120314_FL_B20/OK552735/USA/2012	2		2001-XX-XX	ictv	USA	2	2
HCV/S553_20120314_FL_B19/OK552734/USA/2012	2		1995-XX-XX	ictv	USA	2	2
HCV/S553_20120314_FL_B23/OK552737/USA/2012	2		2009-XX-XX	ictv	USA	2	2
HCV/S553_20120314_FL_B16/OK552732/USA/2012	2		2010-XX-XX	ictv	USA	2	2f
HCV/S553_20120314_FL_B17/OK552733/USA/2012	2		2002-XX-XX	ictv	USA	2	2f
HCV/P6/OP022907/UNITED-KINGDOM/2019	2		2005-XX-XX	ictv	United Kingdom	2	2v
HCV/P9/OP022910/UNITED-KINGDOM/2019	2		2008-XX-XX	ictv	United Kingdom	2	2v
HCV/P8/OP022909/UNITED-KINGDOM/2019	2		2007-XX-XX	ictv	United Kingdom	2	2v
HCV/P10/OP022911/UNITED-KINGDOM/2019	2		2005-XX-XX	ictv	United Kingdom	2	2v
HCV/P5/OP022906/UNITED-KINGDOM/2018	2		2004-XX-XX	ictv	United Kingdom	2	2
HCV/P7/OP022908/UNITED-KINGDOM/2019	2		2005-XX-XX	ictv	United Kingdom	2	2
HCV/PTR9415/KC197230/FRANCE/2008	2		2008-XX-XX	ncbi	France		
HCV/MRS37/KC197229/FRANCE/1995	2		1995-XX-XX	ncbi	France		
HCV/MRS178/KC197231/FRANCE/2001	2		2001-XX-XX	ncbi	France		
HCV/H/KM587621/USA/2012	2		2012-04-26	ncbi	USA		
HCV/S553_20130122_FL_A15/OK552798/USA/2013	2		2005-11-14	ictv	USA	2	2j
HCV/S553_20130122_FL_A11/OK552797/USA/2013	2		2006-11-09	ictv	USA	2	2j
HCV/FRBD0565/KC197232/FRANCE/2005	2		2005-XX-XX	ncbi	France		
HCV/PTR2795/KC197233/FRANCE/2009	2		2009-XX-XX	ncbi	France		
HCV/2C_142/LC368442/JAPAN/2015	2		2015-XX-XX	ncbi	Japan	2	2c
HCV/2C_146/LC368444/JAPAN/2015	2		2015-XX-XX	ncbi	Japan	2	2c
HCV/SP167801/KY620333/UNKNOWN/2013	2		2013-11-07	ncbi			
HCV/F/KM587619/NEW-ZEALAND/2010	2		2010-12-10	ncbi	New Zealand		
HCV/SP185053/KY620331/UNKNOWN/2013	2		2013-11-11	ncbi			
HCV/SP171073/KY620332/UNKNOWN/2013	2		2013-11-18	ncbi			
HCV/SP186766/KY620334/UNKNOWN/2013	2		2013-11-18	ncbi			
HCV/PTR1256/KC197227/FRANCE/2008	2		2008-XX-XX	ncbi	France		
HCV/G/KM587620/USA/2012	2		2012-05-16	ncbi	USA		
HCV/FRBD3618/KC197228/FRANCE/2004	2		2004-XX-XX	ncbi	France		
HCV/2000697/MT632146/ISRAEL/2016	2		2016-02-03	ncbi	Israel		
HCV/SP161117/KY620330/UNKNOWN/2013	2		2013-11-18	ncbi			
HCV/PTR3874/KC197234/FRANCE/2009	2		2009-XX-XX	ncbi	France		
HCV/S553_20130122_FL_A08/OK552795/USA/2013	2		2002-XX-XX	ictv	USA	2	2q
HCV/S553_20130122_FL_A10/OK552796/USA/2013	2		2001-XX-XX	ictv	USA	2	2q
HCV/S6309/MH477423/CAMEROON/2016	2		2016-XX-XX	ncbi	Cameroon		
HCV/2A_069/LC368371/JAPAN/2007	2		2007-XX-XX	ncbi	Japan	2	2a
T9/JFH1	2		2012-03-01	ncbi	Denmark		
S83/JFH1	2		2012-03-01	ncbi	Denmark		
DH8/JFH1	2		2012-03-01	ncbi	Denmark		
DH10/JFH1	2		2012-03-01	ncbi	Denmark		
HCV/2A_076/LC368378/THAILAND/2004	2		2004-XX-XX	ncbi	Thailand	2	2a
HCV/2A_071/LC368373/JAPAN/2001	2		2001-XX-XX	ncbi	Japan	2	2a
HCV/2A_087/LC368389/JAPAN/2007	2		2007-XX-XX	ncbi	Japan	2	2a
HCV/2A_113/LC368415/JAPAN/2012	2		2012-XX-XX	ncbi	Japan	2	2a
HCV/2A_059/LC368362/JAPAN/1998	2		1998-XX-XX	ncbi	Japan	2	2a
HCV/D130/FJ515076/TAIWAN/2004	2		2004-XX-XX	ncbi	Taiwan		
HCV/2A_ZS623/KC844043/CHINA/2011	2		2011-XX-XX	ncbi	China	2	2a
HCV/2A_151/LC368449/JAPAN/2017	2		2017-XX-XX	ncbi	Japan	2	2a
HCV/2A_125/LC368426/JAPAN/2012	2		2012-XX-XX	ncbi	Japan	2	2a
HCV/2A_131/LC368431/JAPAN/2013	2		2013-XX-XX	ncbi	Japan	2	2a
HCV/2A_114/LC368416/JAPAN/2012	2		2012-XX-XX	ncbi	Japan	2	2a
HCV/2A_132/LC368432/JAPAN/2013	2		2013-XX-XX	ncbi	Japan	2	2a
HCV/2A_086/LC368388/JAPAN/2006	2		2006-XX-XX	ncbi	Japan	2	2a
HCV/2A_090/LC368392/JAPAN/2007	2		2007-XX-XX	ncbi	Japan	2	2a
HCV/2A_JFH21/AB690460/JAPAN/2011	2		2011-12-01	ncbi	Japan	2	2a
2A_J6CF/JFH21	2		2011-12-01	ncbi	Japan	2	2a
HCV/2A_051/LC368354/JAPAN/2005	2		2005-XX-XX	ncbi	Japan	2	2a
HCV/2A_091/LC368393/JAPAN/2009	2		2009-XX-XX	ncbi	Japan	2	2a
HCV/SP171215/KY620313/UNKNOWN/2013	2		2013-10-18	ncbi			
HCV/SP176994/KY620323/UNKNOWN/2013	2		2013-10-28	ncbi			
HCV/SP109596/KY620328/UNKNOWN/2013	2		2013-11-18	ncbi			
HCV/SP149145/KY620317/UNKNOWN/2013	2		2013-10-28	ncbi			
HCV/SP169220/KY620318/UNKNOWN/2013	2		2013-10-21	ncbi			
HCV/C/KM587616/USA/2012	2		2012-06-27	ncbi	USA		
HCV/SP135556/KY620324/UNKNOWN/2013	2		2013-10-31	ncbi			
HCV/UFOTL0177/MW629119/USA/2006	2		2006-04-25	ncbi	USA		
HCV/SP170693/KY620326/UNKNOWN/2013	2		2013-11-07	ncbi			
HCV/SP183933/KY620319/UNKNOWN/2013	2		2013-10-22	ncbi			
HCV/SP171595/KY620320/UNKNOWN/2013	2		2013-11-01	ncbi			
HCV/SP147057/KY620321/UNKNOWN/2013	2		2013-11-04	ncbi			
HCV/SP170026/KY620322/UNKNOWN/2013	2		2013-11-08	ncbi			
HCV/SP110855/KY620316/UNKNOWN/2013	2		2013-10-22	ncbi			
HCV/SP131957/KY620314/UNKNOWN/2013	2		2013-10-24	ncbi			
HCV/SP127952/KY620315/UNKNOWN/2013	2		2013-10-28	ncbi			
HCV/S553_20120314_FL_B22/OK552736/USA/2012	2		1995-XX-XX	ictv	USA	2	2t
HCV/SP115021/KY620357/UNKNOWN/2013	2		2013-11-21	ncbi			
HCV/2B_ZS260/KC844048/CHINA/2010	2		2010-XX-XX	ncbi	China	2	2b
HCV/SP139153/KY620351/UNKNOWN/2013	2		2013-12-02	ncbi			
HCV/2B_UFOHG0041/KX621552/USA/2000	2		2000-07-17	ncbi	USA	2	2b
HCV/SP185459/KY620350/UNKNOWN/2013	2		2013-11-21	ncbi			
HCV/SP187311/KY620349/UNKNOWN/2013	2		2013-11-25	ncbi			
HCV/SP135713/KY620347/UNKNOWN/2013	2		2013-11-18	ncbi			
HCV/SP112528/KY620348/UNKNOWN/2013	2		2013-11-21	ncbi			
HCV/2B_HITP300289/KX621550/AUSTRALIA/2007	2		2007-09-17	ncbi	Australia	2	2b
HCV/2B_BBA50110/KX621546/USA/2007	2		2007-12-10	ncbi	USA	2	2b
HCV/D/KM587617/AUSTRALIA/2012	2		2012-05-31	ncbi	Australia		
HCV/SP119392/KY620354/UNKNOWN/2013	2		2013-11-22	ncbi			
HCV/HITP400059/KU871277/AUSTRALIA/2013	2		2013-05-16	ncbi	Australia		
HCV/2B_060/LC368363/JAPAN/1997	2		1997-XX-XX	ncbi	Japan	2	2b
HCV/2B_UFOVT0050/KX621556/USA/2005	2		2005-03-01	ncbi	USA	2	2b
HCV/2B_109/LC368411/JAPAN/2008	2		2008-XX-XX	ncbi	Japan	2	2b
HCV/HITP300306/KU871276/AUSTRALIA/2008	2		2008-12-15	ncbi	Australia		
HCV/SP174560/KY620341/UNKNOWN/2013	2		2013-11-21	ncbi			
HCV/2B_UFOMN0029/KX621554/USA/2001	2		2001-05-21	ncbi	USA	2	2b
HCV/SP195725/KY620355/UNKNOWN/2013	2		2013-11-25	ncbi			
HCV/SP117798/KY620356/UNKNOWN/2013	2		2013-11-21	ncbi			
HCV/SP174769/KY620361/UNKNOWN/2013	2		2013-12-04	ncbi			
HCV/2B_064/LC368367/JAPAN/2015	2		2015-XX-XX	ncbi	Japan	2	2b
HCV/SP101219/KY620359/UNKNOWN/2013	2		2013-11-21	ncbi			
HCV/SP146375/KY620352/UNKNOWN/2013	2		2013-11-19	ncbi			
HCV/SP185481/KY620353/UNKNOWN/2013	2		2013-11-25	ncbi			
HCV/2B_UFOHG0012/KX621551/USA/2000	2		2000-04-26	ncbi	USA	2	2b
HCV/2B_095/LC368397/JAPAN/2009	2		2009-XX-XX	ncbi	Japan	2	2b
HCV/2B_139/LC368439/JAPAN/2015	2		2015-XX-XX	ncbi	Japan	2	2b
HCV/2B_130/LC368430/JAPAN/2013	2		2013-XX-XX	ncbi	Japan	2	2b
HCV/2B_138/LC368438/JAPAN/2014	2		2014-XX-XX	ncbi	Japan	2	2b
HCV/SP182871/KY620360/UNKNOWN/2013	2		2013-12-06	ncbi			
HCV/SP172968/KY620358/UNKNOWN/2013	2		2013-11-21	ncbi			
HCV/PAT1/MN385563/BRAZIL/2018	2		2018-XX-XX	ncbi	Brazil		
HCV/PAT2/MN385564/BRAZIL/2016	2		2016-XX-XX	ncbi	Brazil		
HCV/MRS129/KC197226/FRANCE/2001	2		2001-XX-XX	ncbi	France		
HCV/HITP300315_2B/KU871278/AUSTRALIA/2010	2		2010-05-17	ncbi	Australia		
HCV/SP110257/KY620346/UNKNOWN/2013	2		2013-11-19	ncbi			
HCV/2B_BASLSH10/KX621545/USA/2006	2		2006-11-30	ncbi	USA	2	2b
HCV/SP197885/KY620344/UNKNOWN/2013	2		2013-11-18	ncbi			
HCV/SP186220/KY620345/UNKNOWN/2013	2		2013-11-21	ncbi			
HCV/SP132465/KY620343/UNKNOWN/2013	2		2013-11-21	ncbi			
HCV/2B_BBA50267/KX621548/USA/2010	2		2010-09-08	ncbi	USA	2	2b
HCV/2B_BBA50179/KX621547/USA/2009	2		2009-10-23	ncbi	USA	2	2b
HCV/2B_BBA50311/KX621549/USA/2010	2		2010-01-06	ncbi	USA	2	2b
HCV/SP199799/KY620336/UNKNOWN/2013	2		2013-11-11	ncbi			
HCV/SP193705/KY620337/UNKNOWN/2013	2		2013-11-18	ncbi			
HCV/SP177787/KY620335/UNKNOWN/2013	2		2013-11-18	ncbi			
HCV/SP131970/KY620338/UNKNOWN/2013	2		2013-11-11	ncbi			
HCV/SP104730/KY620339/UNKNOWN/2013	2		2013-11-11	ncbi			
HCV/SP108713/KY620340/UNKNOWN/2013	2		2013-11-18	ncbi			
HCV/SP173441/KY620342/UNKNOWN/2013	2		2013-11-14	ncbi			
HCV/SB/KM349851/USA/2002	2		2002-02-01	ncbi	USA		
HCV/S553_20150212_FL_A12/OK552912/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20150212_FL_A04/OK552905/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20150212_FL_A06/OK552907/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20150212_FL_A26/OK552921/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20150212_FL_C04/OK552925/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20150212_FL_A24/OK552920/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20150212_FL_A22/OK552918/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20150212_FL_C01/OK552922/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20150212_FL_A03/OK552904/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20150212_FL_A16/OK552915/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20150212_FL_A18/OK552917/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20150212_FL_A17/OK552916/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20150212_FL_A07/OK552908/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20150212_FL_A08/OK552909/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20150212_FL_C02/OK552923/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20150212_FL_C06/OK552926/USA/2015	2		2015-02-12	ncbi	USA		
HCV/S553_20160729_FL_B07/OK552950/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20160729_FL_B22/OK552958/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20170123_FL_B11/OK552979/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20160729_FL_A07/OK552931/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20160729_FL_B15/OK552954/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20160729_FL_B21/OK552957/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20170123_FL_A10/OK552967/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20170123_FL_T06/OK552995/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20160729_FL_A05/OK552930/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20160729_FL_A21/OK552942/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20170123_FL_A18/OK552973/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20160729_FL_A01/OK552927/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20160729_FL_A14/OK552937/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20170123_FL_B01/OK552976/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20170123_FL_B16/OK552983/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20170123_FL_A16/OK552972/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20160729_FL_A24/OK552945/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20160729_FL_B06/OK552949/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20160729_FL_B14/OK552953/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20160729_FL_B18/OK552955/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20160729_FL_A11/OK552935/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20160729_FL_A19/OK552941/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20160729_FL_A08/OK552932/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20160729_FL_B12/OK552951/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20160729_FL_B13/OK552952/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20160729_FL_A23/OK552944/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20160729_FL_B23/OK552959/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20170123_FL_B15/OK552982/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20170123_FL_A06/OK552964/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20160729_FL_B05/OK552948/USA/2016	2		2016-07-29	ncbi	USA		
HCV/S553_20170123_FL_T02/OK552993/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20170123_FL_T12/OK552996/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20170123_FL_B23/OK552986/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20170123_FL_B12/OK552980/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20170123_FL_A04/OK552962/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20170123_FL_B25/OK552987/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20170123_FL_B30/OK552990/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20170123_FL_B29/OK552989/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20170123_FL_T05/OK552994/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20170123_FL_B08/OK552978/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20170123_FL_A05/OK552963/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20170123_FL_A12/OK552969/USA/2017	2		2017-01-23	ncbi	USA		
HCV/S553_20090408_FL_C03/OK552687/USA/2009	5		2009-01-01	ictv	USA	5	5
HCV/NED5-4/KU871279/NETHERLANDS/2014	5		2014-01-01	ncbi	Netherlands		
HCV/NED5-5/KU871280/NETHERLANDS/2014	5		2014-01-01	ncbi	Netherlands		
HCV/NED5-1/KU871281/NETHERLANDS/2014	5		2014-01-01	ncbi	Netherlands		
HCV/NED5-3/KU871282/NETHERLANDS/2014	5		2014-01-01	ncbi	Netherlands		
HCV/M/KM587626/USA/2012	5		2012-07-26	ncbi	USA		
HCV/5A_ZS631/KC844046/CHINA/2011	5		2011-XX-XX	ncbi	China	5	5a
HCV/ILBS/KF373567/INDIA/2012	5		2012-03-23	ncbi	India		
HCV/P19/OP022920/UNITED-KINGDOM/2019	8		2016-03-14	ictv	United Kingdom	8	8a
HCV/P20/OP022921/UNITED-KINGDOM/2019	8		2016-03-21	ictv	United Kingdom	8	8a
HCV/S553_20090408_FL_A22/OK552682/USA/2009	8		2017-09-06	ictv	USA	8	8a
HCV/S553_20090408_FL_B13/OK552683/USA/2009	8		2015-01-27	ictv	USA	8	8a
HCV/S553_20120314_FL_B15/OK552731/USA/2012	6		2009-XX-XX	ictv	USA	6	6
